,F1
478,820934.4092198412
479,-360059.07668025594
480,-53661.769298506595
481,-464957.72420757834
482,184055.51963419825
483,-200052.21531108662
484,inf
485,-303941.69347651146
486,1125205.121660195
487,630257.5563822569
488,365866.2004643356
489,502695.6039810702
490,-390197.30434449663
491,-370799.6802245507
492,534420.9291028563
493,1950043.3178989845
494,122808.02905090287
495,-454754.1273287868
496,401264.2371227295
497,77997.32183066402
498,-513157.40826463245
499,-448865.3121328207
500,-207211.83891409234
501,-283853.78195233335
502,31520.452324740956
503,65349.78153833556
504,-590229.3564895215
505,253635.6052995445
506,-162000.53977282438
507,-199598.6351499955
508,-290787.7056167394
509,-158136.87382102673
510,-602134.986440934
511,12461.2159497332
512,-310346.21506104455
513,-1154177.4514557228
514,91391.68946417069
515,1011192.6021590594
516,278664.30957729823
517,-614735.0046060776
518,50199.7187013913
519,-573099.6960336738
520,-467912.00704716536
521,498393.7461700964
522,144942.3098773609
523,539136.8267174076
524,-767563.1269696684
525,-92362.58043706224
526,154123.8718036834
527,141021.0595836194
528,428765.70840303786
529,291335.90297444613
530,427085.97248673113
531,60780.45494515731
532,127564.19970527753
533,134367.7877798616
534,933629.0001401637
535,453452.2738499598
536,423671.5608198427
537,-3399.2628119818546
538,552796.9512586814
539,21347.41635553795
540,-59683.890492714454
541,1289683.4494719096
542,-45789.707636648316
543,-143.8167132894183
544,75551.67620259809
545,-539676.1436699512
546,230889.2001858393
547,-204630.12771497093
548,122683.12577659
549,-196764.58092907068
550,-138563.35519118878
551,357332.0804963265
552,-735996.6413778516
553,-36727.67703984581
554,19158.43895723842
555,-774651.9676157073
556,311405.3111883896
557,1471337.1654701962
558,-1336554.0820718051
559,-449658.65085531387
560,323427.0493918558
561,345786.2715342891
562,1234029.244000392
563,506888.7462332224
564,1024410.8387335086
565,1590274.9151242462
566,739992.2161122173
567,-405188.3588101015
568,356701.04425289633
569,37427.99575537259
570,489948.3819200355
571,-877550.3256999509
572,2813261.813586533
573,70012.50461642325
574,543881.3582063367
575,-666091.6379825326
576,-882591.5252993417
577,-198765.4776060771
578,-774859.9318338522
579,730221.2431775123
580,2710883.880746824
581,-1032755.801701682
582,1708078.5402893776
583,232089.8627754693
584,1328785.7808469932
585,466986.5373047364
586,-1610789.683938307
587,-672477.8642874489
588,414045.5913857647
589,-258298.3109307413
590,265953.1603608519
591,-636122.0918069911
592,-1190528.5738402372
593,-746526.4461072254
594,-619277.1564798345
595,-107633.30413151241
596,-1874769.820596317
597,73224.37960133041
598,265628.6405504747
599,-697052.2748664356
600,-91014.70730094751
601,-545268.3727146871
602,1072886.400420424
603,764289.470656241
604,-85738.81916269836
605,541219.9425350089
606,-457793.4213871095
607,201851.77348638145
608,-936177.0097066392
609,-inf
610,-364478.9737903874
611,1375698.9232394407
612,-22104.07550749347
613,-1820417.7081572043
614,-451001.1980914341
615,562578.5531708478
616,822365.8078800142
617,313245.9796855028
618,-352777.0751005491
619,245940.57963602172
620,-427980.1012510373
621,23390.75546380252
622,-711330.1092516903
623,-768894.281692182
624,285313.0072488321
625,159264.0086080205
626,92543.91862186647
627,395068.20310864266
628,331298.2734865341
629,-1546662.9463692305
630,139569.55206768136
631,-134869.4561190231
632,374241.2202990842
633,-390171.37255781965
634,-885815.9808907293
635,497713.72784038505
636,970128.6727160976
637,696456.2642647545
638,362243.95806636754
639,744395.17271503
640,103365.51493668424
641,111653.75023371106
642,-305311.9909407404
643,-86845.05250929015
644,-268670.02156826487
645,88502.51956309003
646,944220.6435125348
647,764011.4875689507
648,-212020.5807243834
649,492288.5511190064
650,-508195.6203461186
651,-616589.5028809556
652,320683.03345436987
653,367923.11466609815
654,401689.1707937321
655,-913100.6389114808
656,-165244.45506593792
657,-35355.43274390139
658,-123073.30928439075
659,512174.1166360845
660,1976664.286341001
661,2489342.162870024
662,-1124018.0295071476
663,-1351362.0913394461
664,2636636.588940429
665,189938.76950692502
666,-67265.95003924082
667,-41533.686207743776
668,-158685.18183979444
669,819497.2674950485
670,894795.5505894312
671,371985.194931481
672,-395149.9098229773
673,-499760.08656423446
674,-123344.49094148274
675,-338443.70645130414
676,257397.17761932896
677,-378154.54575148167
678,135364.70570618895
679,-387777.0157643004
680,-28967.991234241657
681,-327420.90408261033
682,28056.833295998622
683,563927.9803893197
684,136424.35263737373
685,-435993.2523838114
686,-374665.3428761279
687,-152195.19913313133
688,-430891.44325856277
689,127252.7837343426
690,280310.48258636903
691,-588230.7850759521
692,696686.3813127681
693,784260.7833919533
694,754784.8621116964
695,-214071.22706739113
696,-210104.99111657994
697,-421832.2538024457
698,68991.9622488494
699,-129375.04183554936
700,543406.9680408493
701,-94657.59250889203
702,9076.738469478638
703,165984.37076950763
704,526825.2215702762
705,38598.30683959639
706,31827.359022640314
707,1011725.5868601563
708,-783962.6835769119
709,-457246.07413352706
710,131115.47323406025
711,-87345.57004472251
712,-1539799.7724640933
713,54915.080376834776
714,140676.34546767303
715,-1236868.6970650295
716,-672136.6439121907
717,354863.55800865847
718,-681853.213385693
719,177264.66547267334
720,-877171.8901155777
721,133464.39650977906
722,176307.4806020278
723,48447.767140747914
724,347672.2274451521
725,-920590.8609635636
726,161961.29572140722
727,75392.44502142965
728,-263621.83786808705
729,644794.4883516051
730,72938.68737804436
731,18074.29219758508
732,-134678.09138647458
733,700409.218779663
734,42175.84963560047
735,-16664.39240917789
736,131822.87758690357
737,-149620.09146576407
738,-332004.1005248656
739,-620773.3214441354
740,-1618799.653748845
741,-64203.00583768846
742,22180.88921348174
743,662632.3728825285
744,48409.296899725814
745,262675.3049114604
746,359634.4659965532
747,-30460.69191002426
748,-367866.78850589547
749,83448.99291820136
750,652730.3643008564
751,-37898.55301220754
752,-303739.570586331
753,-443390.9634231947
754,267597.5600760946
755,-293599.249070932
756,-730001.7491194266
757,219848.61109635796
758,-249643.47207120052
759,-1154611.5197537453
760,-1871520.311917104
761,-97343.55306299728
762,43768.365874716306
763,129232.65161956384
764,287271.19062922534
765,405408.09851281706
766,62500.13437994112
767,-436928.4133645584
768,375433.8153440786
769,-2698204.895787968
770,-934416.2993422027
771,959487.2575624946
772,71094.16882288783
773,22664.334217352196
774,273851.6776596413
775,inf
776,618547.7603843763
777,806182.4183442919
778,159788.67798616277
779,219747.45631173218
780,523061.04777837126
781,278873.14875564765
782,-32841.52650121305
783,228164.92452815687
784,-1460649.7183617551
785,-603149.8682044292
786,-428420.65146137297
787,-171170.9835582006
788,-769943.0863650889
789,1564624.660908564
790,-38662.005486582275
791,-61515.69445040875
792,-776578.7463329819
793,178552.2663643814
794,684386.4392897263
795,808011.8478357951
796,509207.2766373174
797,inf
798,198200.83610099743
799,102591.19581777042
800,228168.79381229775
801,-298064.0678562107
802,-208085.58285891393
803,-324003.70198196964
804,-346580.40985357994
805,1040808.0849749986
806,-1613093.0311676627
807,-1234084.7636460592
808,-1082113.7895213263
809,-120272.25852895105
810,-1999780.5242753758
811,82796.5496930672
812,-12284.235457250345
813,-1843610.8333063119
814,686112.345353033
815,-556858.7893516251
816,200376.8971926204
817,670959.5445481665
818,473564.60465250316
819,-612618.500577646
820,560699.187480339
821,110143.99518376445
822,653707.699855275
823,-269601.2329200551
824,-1967437.041147347
825,1092903.9173964462
826,15870.324752712468
827,-649232.5056021162
828,-23545.20085799519
829,757431.8324619726
830,613150.363637554
831,1402898.4347073648
832,-653732.5194159269
833,29915.407395456463
834,-315841.017641687
835,-467481.1723984814
836,758818.6430907215
837,271348.4426926548
838,-327085.5462810814
839,939890.8651061865
840,241863.279043951
841,87938.76566152486
842,314845.4998226341
843,358004.6970447593
844,-124270.24281994344
845,-491932.2883151993
846,228460.13468237277
847,537768.3843346044
848,243575.8732694806
849,-12403.35313852648
850,330531.2038728098
851,7571.884254957844
852,596694.0349931323
853,427150.1772288135
854,-338710.60244920384
855,-91251.39409733549
856,125566.98500033359
857,516385.5881590801
858,32292.257601317266
859,723432.5454282217
860,400215.8897561424
861,-433940.9684052719
862,-54363.61869711868
863,-56565.544390069714
864,26496.65019137539
865,55925.30140533509
866,391228.41453435743
867,-295215.82654326287
868,119874.54413182812
869,-138080.822796252
870,-822125.5032171967
871,-57968.255390845006
872,-131550.75973710846
873,65639.11371062962
874,-487156.0706485953
875,948992.9389324042
876,124159.83612670227
877,13280.587510558284
878,-219661.3817748503
879,-26843.013089200555
880,650313.342344161
881,261254.69513858168
882,-492090.6307406102
883,-424808.89253206115
884,169604.962035694
885,212143.852590312
886,-1494.0443610418422
887,426706.8486690497
888,185467.64934248032
889,31579.55359544902
890,-791978.06456538
891,116824.18441945344
892,-43724.85211203059
893,20211.93994646141
894,-227333.494913616
895,-8055.306043925048
896,-319583.8305327918
897,220136.63178142338
898,19439.363507605285
899,355402.85746442794
900,43023.021464472055
901,-66085.87435464925
902,-1131710.5527663357
903,43760.261818504005
904,-617844.5778171652
905,162169.2091877215
906,522239.7686805927
907,340764.8054517615
908,-223605.5901376345
909,24493.18464531293
910,435447.2701391379
911,157677.2473396733
912,-104859.87909937419
913,-390188.16448527004
914,336212.8969416639
915,577633.4194586449
916,466968.4113216519
917,inf
918,91601.42321600486
919,-26274.237311031502
920,443778.68012949283
921,-219554.1314777321
922,118038.64286284482
923,-210878.00054017396
924,276873.9657034717
925,1478327.1082329676
926,218190.29183599143
927,-196138.57127122645
928,154593.0405087333
929,-45220.550012116466
930,68865.52951191353
931,364415.363258704
932,-291404.77206639247
933,-306450.2954743306
934,122585.16909345087
935,-347042.5890206046
936,540643.2553172766
937,479077.34076005616
938,197201.94416553876
939,257506.91917087123
940,211221.17627964602
941,inf
942,349745.7497451589
943,214643.08808341715
944,143899.28465847168
945,-824535.2709305207
946,76941.69307246855
947,-318003.3775356086
948,768482.2747065511
949,461786.0263701119
950,-487771.57324716414
951,774653.253892859
952,-671031.1062532779
953,-61238.94732590588
954,-206593.76012083772
955,174030.20558107705
956,396711.24208447436
957,-156350.84973981918
958,-304147.24527163204
959,-469540.5983101831
960,211824.74222207227
